시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,
논현종합시장,상설,서울특별시 강남구 봉은사로33길 33,서울특별시 강남구 논현동 227-4,매일,37.5100165568,127.034759346,80,"식품,공산품 등",,,Y,Y,1979,02-549-1940,2017-11-17,
신사상가,상설,서울특별시 강남구 압구정로29길 72-1,서울특별시 강남구 압구정동 454,매일,37.5322874431,127.028402252,60,"식품,공산품 등",,,Y,N,1976,02-542-5844,2017-11-17,
청담삼익시장,상설,서울특별시 강남구 학동로 101길 26,서울특별시 강남구 청담동 134-20,매일,37.5224450698,127.057620579,172,"식품,공산품 등",,,Y,Y,1980,02-547-0225,2017-11-17,
거제고현시장,상설,경상남도 거제시 거제중앙로 1883-2(고현동),경상남도 거제시 고현동 98-27,상설,34.886250,128.623628,65,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1980,055-632-6636,2017-10-31,
신부시장,상설,경상남도 거제시 장승포로 49(장승포동),경상남도 거제시 장승포동 283-99,상설,34.867722,128.729556,45,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1997,055-682-2317,2017-10-31,
옥수동새시장,상설,경상남도 거제시 능포로 134-2(능포동),경상남도 거제시 능포동 680-7,상설,34.875414,128.731917,40,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1984,,2017-10-31,
영선시장,상설,대구광역시 남구 중앙대로46길 43,대구광역시 남구 대명동 2014-59,매일,35.8522036928,128.593693474,2,"식품, 잡화",온누리상품권,,Y,N,1976,053-472-6001,2017-11-21,
옥포중앙시장,상설,"경상남도 거제시 옥포로 215(옥포동, 중앙시장)",경상남도 거제시 옥포동 529-8,상설,34.893969,128.690622,29,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1984,055-687-0858,2017-10-31,
옥현쇼핑타운,상설,"경상남도 거제시 옥포로 250(옥포동, 옥현시장)",경상남도 거제시 옥포동 1293-1,상설,34.896928,128.689906,70,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1994,055-688-1949,2017-10-31,
장평종합시장,상설,"경상남도 거제시 장평로 37(장평동, 장평종합상가)",경상남도 거제시 장평동 56-1,상설,34.890847,128.613106,100,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1995,055-637-2197,2017-10-31,
한라프라자,상설,경상남도 거제시 거제중앙로 1906(고현동),경상남도 거제시 고현동 961-153,상설,34.888208,128.623536,51,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1996,055-637-1195,2017-10-31,
회원프라자,상설,경상남도 거제시 고현로11길 18(고현동),경상남도 거제시 고현동 961-59,상설,34.889033,128.624819,30,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,1996,055-632-6237,2017-10-31,
옥수시장,상설,경상남도 거제시 옥수로10길 35(능포동),경상남도 거제시 능포동 645-10,상설,34.876181,128.731167,40,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,2006,055-681-2757,2017-10-31,
옥포국제시장,상설,경상남도 거제시 옥포대첩로3길 8(옥포동),경상남도 거제시 옥포동 529-1,상설,34.893969,128.689242,61,"농산물, 수산물, 잡화","거제사랑상품권, 온누리상품권",N,Y,Y,2006,,2017-10-31,
봉덕시장,상설,대구광역시 남구 봉덕로27길 16-19,대구광역시 남구 봉덕동 961-1,매일,35.8455021269,128.603494015,85,"식품, 잡화",온누리상품권,,Y,N,1972,053-472-8922,2017-11-21,
봉덕신시장,상설,대구광역시 남구 봉덕로 115,대구광역시 남구 봉덕동 955-31,매일,35.8451394026,128.60339374,240,"식품, 잡화",온누리상품권,http://www.bongdeogmarket.co.kr/,Y,Y,2006,053-473-7085,2017-11-21,
남산시장,상설,대구광역시 남구 이천로5길 18,대구광역시 남구 봉덕동 686-57,매일,35.8432169582,128.596988895,9,"식품, 잡화",온누리상품권,,Y,N,1971,053-471-8263,2017-11-21,
남부시장,상설,대구광역시 남구 현충로19길 43,대구광역시 남구 대명동 797-1,매일,35.8414020748,128.576929235,8,"식품, 잡화",온누리상품권,,Y,N,1971,053-627-2303,2017-11-21,
영선신시장,상설,대구광역시 남구 중앙대로48길 29,대구광역시 남구 대명동 1995-12,매일,35.8525141006,128.592575076,116,"식품, 잡화",온누리상품권,,Y,Y,2006,053-472-6001,2017-11-21,
대명시장,상설,대구광역시 남구 명덕로 60,대구광역시 남구 대명동 2276-5,매일,35.8584090638,128.577164231,117,"식품, 잡화",온누리상품권,,Y,N,1975,053-622-1664,2017-11-21,
대명신시장,상설,대구광역시 남구 성당로60길 46,대구광역시 남구 대명동 2282-2,매일,35.8577419221,128.576637376,120,"식품, 잡화",온누리상품권,,Y,Y,2011,053-622-1664,2017-11-21,
대덕시장,상설,대구광역시 남구 현충로46길 16,대구광역시 남구 대명동 1919-1,매일,35.8515155076,128.582765786,3,"식품, 잡화",온누리상품권,,Y,N,1970,,2017-11-21,
성명시장,상설,대구광역시 남구 성당로28길 17,대구광역시 남구 대명동 3043-1,매일,35.8470958242,128.56878503,5,"식품, 잡화",온누리상품권,,Y,N,1977,,2017-11-21,
성당시장,상설,대구광역시 남구 성당로 196,대구광역시 남구 대명동 3023-23,매일,35.8501698657,128.57297201,140,"식품, 잡화",온누리상품권,,Y,Y,1971,053-652-3700,2017-11-21,
명덕시장,상설,대구광역시 남구 명덕시장길 90,대구광역시 남구 대명동 139-1,매일,35.8450365827,128.587794696,39,"식품, 잡화",온누리상품권,,Y,N,1967,053-651-9810,2017-11-21,
대명중앙시장,상설,대구광역시 남구 대명로20길 56,대구광역시 남구 대명동 1040-1,매일,35.8368079569,128.567705921,15,"식품, 잡화",온누리상품권,,Y,Y,1976,053-627-9407,2017-11-21,
광덕시장,상설,대구광역시 남구 자유6길 50,대구광역시 남구 대명동 460-1,매일,35.8371918165,128.582419182,20,"식품, 잡화",온누리상품권,,Y,N,1971,053-622-7040,2017-11-21,
안지랑시장,상설,대구광역시 남구 대명로36길 63,대구광역시 남구 대명동 872-1,매일,35.8364081682,128.574572753,11,"식품, 잡화",온누리상품권,,Y,N,1971,053-652-6569,2017-11-21,
관문시장,상설,대구광역시 남구 관문시장2길 43,대구광역시 남구 대명동 1160,매일,35.8355362572,128.559062153,31,"식품, 잡화",온누리상품권,,Y,N,1972,,2017-11-21,
관문상가시장,상설,대구광역시 남구 대명서7길 24-3,대구광역시 남구 대명동 1157-10,매일,35.8356116415,128.557974663,290,"식품, 잡화",온누리상품권,,Y,Y,2005,053-627-2610,2017-11-21,
마천시장,상설,서울특별시 송파구 마천로45길 23,서울특별시 송파구 마천동 140-2,매일,37.498110,127.150527,72,"농수산물, 기타소매",온누리상품권,,Y,N,1973,02-409-6500,2017-11-22,
홍천시장,상설,강원도 홍천군 홍천읍 홍천로8길 13 일원,강원도 홍천군 홍천읍 신장대리 8-130번지 일원,매일,37.6906781718,127.886597674,88,"농수산물,건어물,잡화","온누리상품권, 강원상품권",,Y,N,2002,033-434-2689,2017-10-31,
중앙시장,상설,강원도 홍천군 홍천읍 홍천로8길 17 일원,강원도 홍천군 홍천읍 신장대리 5-3번지 일원,매일,37.6910814298,127.886167113,94,"감자떡, 전병, 기타식자재","온누리상품권, 강원상품권",http://hongcheonmarket.itrocks.kr/,Y,N,1981,033-434-2599,2017-10-31,
화순전통시장,오일장,전라남도 화순군 화순읍 시장길 44,전라남도 화순군 화순읍 삼천리 621,"3일, 8일",35.0591309,126.9835750,329,농산물,온누리상품권,,Y,Y,1964,061-379-3163,2017-11-19,
능주전통시장,오일장,전라남도 화순군 능주면 학포로 1955,전라남도 화순군 능주면 관영리 94-8,"5일, 10일",34.9908573,126.9589036,82,농산물,온누리상품권,,Y,Y,1923,061-379-3163,2017-11-19,
춘양오일시장,오일장,전라남도 화순군 춘양면 강변길 19-2,전라남도 화순군 춘양면 석정리 573-10,"2일, 7일",34.9499051,126.9621794,5,농산물,온누리상품권,,Y,N,1964,061-379-3163,2017-11-19,
이양오일시장,오일장,전라남도 화순군 이양면 이양로 29-29,전라남도 화순군 이양면 이양리 299-2,"4일, 9일",34.8827992,126.9871434,31,농산물,온누리상품권,,Y,N,1964,061-379-3163,2017-11-19,
동복오일시장,오일장,전라남도 화순군 동복면 동복시장길 19,전라남도 화순군 동복면 천변리 95,"2일, 7일",35.0716346,127.1257524,20,농산물,온누리상품권,,Y,N,1964,061-379-3163,2017-11-19,
남면오일시장,오일장,전라남도 화순군 남면 사평길 36-7,전라남도 화순군 남면 사평리 1049-90,"5일, 10일",35.0049193,127.0972729,25,농산물,온누리상품권,,Y,N,1964,061-379-3163,2017-11-19,
다대씨-파크,상설,부산광역시 사하구 다대동로 20(다대동),부산광역시 사하구 다대동 680-2,매일,35.0552440,128.9719830,107,"활어, 초장집, 슈퍼 등",온누리상품권,,Y,Y,1996,051-262-0180,2017-11-22,
에덴시장,상설,부산광역시 사하구 낙동대로535번길 28(하단동),부산광역시 사하구 하단동 478-6,매일,35.1113420,128.9630940,175,"반찬, 채소, 과일, 분식, 방앗간, 정육점, 양곡 등",온누리상품권,,Y,N,1980,051-291-9751,2017-11-22,
장림시장,상설,부산광역시 사하구 장림번영로 24(장림동),부산광역시 사하구 장림동 792-7,매일,35.0808600,128.9677810,53,"식당 및 주점, 생선, 정육, 채소 등",온누리상품권,,Y,N,1973,051-263-6886,2017-11-22,
하단5일상설시장,상설,부산광역시 사하구 제석로17번길 1(하단동) 일원,부산광역시 사하구 하단동 620-8,매일,35.1037280,128.9708190,98,"채소, 과일, 생선, 육류, 반찬, 옷, 양곡 등",온누리상품권,,Y,N,1950,051-201-0833,2017-11-22,
하단시장,상설,부산광역시 사하구 승학로2번길 1(당리동),부산광역시 사하구 당리동 302-7,매일,35.1061170,128.9696680,40,"채소, 과일, 생선, 육류 등",온누리상품권,,N,N,1978,051-292-9002,2017-11-22,
에덴골목시장,상설,부산광역시 사하구 낙동대로535번길 33(하단동),부산광역시 사하구 하단동 500-29,매일,35.1111600,128.9627400,47,"야채, 과일, 생선, 정육, 부식, 잡화, 생활용품",온누리상품권,,N,N,1988,051-201-4008,2017-11-22,
장림골목시장,상설,부산광역시 사하구 장림시장5길 95(장림동) 외,부산광역시 사하구 장림동 641-268,매일,35.0807240,128.9682200,83,"슈퍼, 야채, 양곡, 은행, 숙녀복, 아동복, 교육시설, 사무실, 문구점, 미용실 등",온누리상품권,,N,N,1977,051-265-2236,2017-11-22,
괴정골목시장,상설,부산광역시 사하구 사하로198번길 7 외(괴정동),부산광역시 사하구 괴정동 1011-26,매일,35.0993970,128.9936720,85,"채소, 양곡, 은행, 의류, 식육, 생선, 사무실, 문구점, 미용실 등",온누리상품권,,N,N,1973,051-204-7277,2017-11-22,
감천시장,상설,부산광역시 사하구 옥천로 8(감천동),부산광역시 감천동 471,매일,35.0882470,129.0053520,72,"양품, 금방, 식육점, 철물, 양곡, 이불점, 야채, 과일, 떡방앗간 등",온누리상품권,,Y,N,1975,051-291-9092,2017-11-22,
감천2동시장,상설,부산광역시 사하구 옥천로75번길 17(감천동),부산광역시 감천동 13-13,매일,35.0939620,129.0087230,51,"채소, 과일, 식자재, 참기름, 야채 등",온누리상품권,,Y,Y,1976,051-203-4722,2017-11-22,
당리시장,상설,부산광역시 사하구 제석로62번길 16(당리동),부산광역시 당리동 302-7,매일,35.1054680,128.9753270,76,"반찬, 채소, 과일, 분식, 방앗간, 양곡 등",온누리상품권,,Y,Y,1980,051-292-6660,2017-11-22,
사하시장,상설,부산광역시 사하구 괴정로 219(괴정동),부산광역시 사하구 괴정동 552-14,매일,35.0975520,128.9855090,50,"채소, 과일, 생선, 육류 등",온누리상품권,,Y,Y,1977,051-292-9308,2017-11-22,
가락타운상가시장,상설,부산광역시 사하구 하신중앙로 265(하단동),부산광역시 사하구 하단동 1176,매일,35.1023960,128.9604930,105,"과일, 야채, 공산품, 정육점, 식품, 잡화, 학원, 헬스장, 은행, 금은방, 문구류",온누리상품권,,Y,Y,1992,051-206-9865,2017-11-22,
신평골목시장,상설,부산광역시 사하구 다대로134번길 18 외(신평동),부산광역시 신평동 82-9,매일,35.0906340,128.9776890,108,"야채, 과일, 식자재, 생선, 정육 등",온누리상품권,,Y,N,1975,051-203-3848,2017-11-22,
신평종합시장,상설,부산광역시 사하구 다대로134번길 44(신평동),부산광역시 사하구 신평동 112-213,매일,35.0915830,128.9768480,95,"한복, 장식, 생선, 채소, 과일, 분식, 방앗간, 악세사리, 옷수선 등",온누리상품권,,N,N,1981,051-201-2287,2017-11-22,
청송시장,오일장,경상북도 청송군 청송읍 현충로 106,경상북도 청송군 청송읍 월막리 423-5 외 23필,"4일,9일",36.4353709,129.052431,38,"사과, 고추, 어물, 채소, 기타잡화",온누리상품권,없음,Y,Y,1920,054-874-3604,2017-10-30,
부남시장,오일장,경상북도 청송군 부남면 대전리2길,경상북도 청송군 부남면 대전리 64외 1필,"3일,8일",36.3465321,129.064575,12,"사과, 고추, 어물, 채소, 기타잡화",온누리상품권,없음,Y,N,1921,,2017-10-30,
도평시장,오일장,경상북도 청송군 현동면 도평2길 19,경상북도 청송군 현동면 도평리 839-3외 1필,"5일,10일",36.2900497,129.0167873,8,"사과, 고추, 어물, 채소, 기타잡화",온누리상품권,없음,Y,N,1921,,2017-10-30,
화목시장,오일장,경상북도 청송군 현서면 구산북로 57,경상북도 청송군 현서면 구산리 100-14 외 1필,"1일,6일",36.2753333,128.8971755,10,"사과, 고추, 어물, 채소, 기타잡화",온누리상품권,없음,N,N,1940,,2017-10-30,
안덕시장,오일장,경상북도 청송군 안덕면 명당리,경상북도 청송군 안덕면 명당리 434-5,"4일,9일",36.2882471,128.9586661,8,"사과, 고추, 어물, 채소, 기타잡화",온누리상품권,없음,Y,N,1940,,2017-10-30,
진보시장,오일장,경상북도 청송군 진보면 진안남2길 5,경상북도 청송군 진보면 진안리 122-3 외 12필,"3일,8일",36.5282264,129.0459227,39,"사과, 고추, 어물, 채소, 기타잡화",온누리상품권,없음,Y,Y,1910,054-872-5915,2017-10-30,
양동시장,상설,광주광역시 서구 천변좌로 238(양동),광주광역시 서구 양동 5-101,매일,35.1538613,126.9021342,288,"공산품(의류, 한복, 침구류, 그릇), 수산물, 농산물",온누리상품권,http://blog.naver.com/ydsijang100/,Y,Y,1973,026-363-0815,2017-10-30,
양동복개상가,상설,광주광역시 서구 천변좌로 243(양동),광주광역시 서구 양동 441,매일,35.1543568,126.9027114,431,"가구, 의류, 커텐, 침구, 원단 등",온누리상품권,http://www.양동복개상가.com/,Y,Y,1975,062-362-0121,2017-10-30,
매일시장,상설,전라남도 해남군 해남읍 천변2길 15,전라남도 해남군 해남읍 읍내리 50번지 일원,상설,34.5703844,126.5989011,39,"어물, 채소, 잡화 등",온누리상품권,,Y,y,1981,061-536-2877,2017-11-01,
해남5일시장,오일장,전라남도 해남군  해남읍 중앙2로 100-2,전라남도 해남군 해남읍 고도리 106-4외 4필지,"1일, 6일",34.5682473,126.5964077,202,"어물, 채소, 잡화 등",온누리상품권,,Y,Y,1964,061-530-5352,2017-11-01,
월송5일시장,오일장,전라남도 해남군 현산면 시등리길 48-5,전라남도 해남군 현산면 월송리 279-1외 2필지,"4일, 9일",34.4166827,126.5888052,15,"어물, 채소, 잡화 등",,,Y,n,1964,061-530-5352,2017-11-01,
산정5일시장,오일장,전라남도 해남군 산정1길 37-2,전라남도 해남군 송지면 산정리 758,"2일, 7일",34.3708678,126.5224025,40,"어물, 채소, 잡화 등",,,Y,Y,1967,061-530-5352,2017-11-01,
남창5일시장,오일장,전라남도 해남군 북평면 달량진길 48-11,전라남도 해남군 북평면 남창리 1279-2,"2일, 7일",34.4045382,126.6268900,144,"어물, 채소, 잡화 등",온누리상품권,,Y,Y,1964,061-530-5352,2017-11-01,
좌일5일시장,오일장,전라남도 해남군 북일면 만월길26-1,전라남도 해남군 북일면 흥촌리 161,"3일, 8일",34.4637736,126.6723439,38,"어물, 채소, 잡화 등",,,Y,Y,1964,061-530-5352,2017-11-01,
남리5일시장,오일장,전라남도 해남군 황산면 시등로111-11,전라남도 해남군 황산면 남리 7 외 1필지,"3일, 8일",34.5752603,126.4325110,60,"어물, 채소, 잡화 등",,,Y,Y,1964,061-530-5352,2017-11-01,
우수영5일시장,오일장,전라남도 해남군 문내면 우수영길 10-13,전라남도 해남군 문내면 동외리 920외1필지,"4일, 9일",34.596545,126.311547,60,"어물, 채소, 잡화 등",,,Y,Y,1964,061-530-5352,2017-11-01,
화원5일시장,오일장,전라남도 해남군 화원면 청용길15-12,전라남도 해남군 화원면 금평리 239-14,"5일, 10일",34.6676253,126.3272271,28,"어물, 채소, 잡화 등",,,Y,n,1964,061-530-5352,2017-11-01,
남산중앙시장,상설,충청남도 천안시 동남구 사직2길 19일원,충청남도 천안시 동남구 사직동 263 일원,매일,36.8002692,127.1484548,300,잡화 등 소매점,온누리상품권,,Y,Y,1918,041-553-1135,2017-10-30,
천안역전시장,상설,충청남도 천안시 동남구 공설시장1길 2일원,충청남도 천안시 동남구 대흥동 63-3 일원,매일,36.8091754,127.1488336,123,잡화 등 소매점,온누리상품권,,Y,Y,1955,041-552-9954,2017-10-30,
마천중앙시장,상설,서울특별시 송파구 마천로51가길 23,서울특별시 송파구 마천동 146-7,매일,37.499230,127.151278,136,"농수산물, 기타소매",온누리상품권,http://cafe.daum.net/majungsi,Y,Y,1968,02-448-2808,2017-11-22,
방이시장,상설,서울특별시 송파구 백제고분로48길 41,서울특별시 송파구 방이동 137-8,매일,37.511128,127.117621,138,"농수산물, 기타소매",온누리상품권,http://bimarket.kr,Y,Y,1986,02-413-2100,2017-11-22,
새마을시장,상설,서울특별시 송파구 석촌호수로12길 14,서울특별시 송파구 잠실동 207-5,매일,37.510019,127.084910,116,"농수산물, 기타소매",온누리상품권,http://saemaulmarket.kr,Y,N,1976,02-413-5757,2017-11-22,
석촌시장,상설,서울특별시 송파구 송파대로37길 40,서울특별시 송파구 석촌동 275-5,매일,37.501332,127.107831,90,"농수산물, 기타소매",온누리상품권,,Y,Y,1980,02-414-8784,2017-11-22,
풍납시장,상설,서울특별시 송파구 바람드리길 50,서울특별시 송파구 풍납동 152-81,매일,37.538088,127.121084,165,"농수산물, 기타소매",온누리상품권,,Y,Y,1970,02-472-2050,2017-11-22,
강남시장,상설,인천광역시 서구 강남로 14,인천광역시 서구 석남동 454-19,상설,37.511192,126.671967,104,"농,축,수산물 공산품 등",온누리상품권,,N,Y,1985,032-575-0123,2017-10-31,
가좌시장,상설,인천광역시 서구 원적로96번길,인천광역시 서구 가좌동 30-59,상설,37.494116,126.683812,144,"농,축,수산물 공산품 등",온누리상품권,http://blog.naver.com/gajwa_merchant,Y,N,1994,032-584-5006,2017-10-31,
거북시장,상설,인천광역시 서구 면개포로10번길,인천광역시 서구 석남동 548-3,상설,37.503666,126.674643,53,"농,축,수산물 공산품 등",,,N,N,1982,032-574-0078,2017-10-31,
신거북시장,상설,인천광역시 서구 가정로 208,인천광역시 서구 석남동 540-15,상설,37.503346,126.672433,112,"농,축,수산물 공산품 등",온누리상품권,,Y,Y,1980,032-577-3528,2017-10-31,
정서진 중앙시장,상설,인천광역시 서구 가정로 380번길 13-2,인천광역시 서구 가정동 502-31,상설,37.518821,126.674699,96,"농,축,수산물 공산품 등",온누리상품권,http://www.정서진중앙시장.com/,Y,N,1989,032-575-5002,2017-10-31,
축산물시장,상설,인천광역시 서구 가좌로 96번길 35,인천광역시 서구 가좌동 480-19,상설,37.479046,126.688379,160,축산물,온누리상품권,,N,N,1982,032-575-5511,2017-10-31,
구로시장,상설,서울특별시 구로구 구로동로22길 20-27일대,서울특별시 구로구 구로동 736-1,상설,37.489419,126.885608,175,잡화,온누리,,Y,,1962,,2017-10-27,
고한 구공탄시장,상설,강원도 정선군 고한읍 고한4길 46,,"상설, 정기(1일, 6일)",37.201114,128.854215,76,"전통음식, 농산물, 식품, 임산물, 생필품, 어물",,,Y,Y,1967,033-591-4989,2017-11-22,
임계사통팔달시장,오일장,강원도 정선군 임계면 송계리 767-3,,"5일, 10일",37.495096,128.851131,80,"전통음식, 농산물, 식품, 생필품, 농기구, 어물, 지역특산물",,,Y,Y,1965,033-562-2930,2017-11-22,
정선아리랑시장,상설,강원도 정선군 정선읍 봉양7길 39,,"상설(2일, 7일), 주말장(토)",37.380393,128.665170,300,"전통음식, 농산물, 약초, 식품, 임산물, 생필품","온누리상품권, 정선아리랑상품권",,Y,Y,1966,033-563-6200,2017-11-22,
증평장뜰시장,상설,충청북도 증평군 증평읍 장뜰로 58-1,충청북도 증평군 증평읍 중동리 97-1,매일,36.783360,127.582929,95,생필품 등,온누리상품권+증평사랑으뜸상품권,,Y,Y,,043-838-5501,2017-11-17,
용호시장,상설,부산광역시 남구 동명로 152번길 93,부산광역시 남구 용호2동 516-10,매일,35.1149124559,129.112772501,103,"활어, 채소, 건어물",온누리상품권,없음,Y,Y,1975,051-623-3818,2017-10-31,
용호삼성시장,상설,부산광역시 남구 용호로 106번길 40,부산광역시 남구 용호1동 128-1,매일,35.123898071,129.110538929,37,"채소, 건어물",온누리상품권,없음,Y,N,1977,051-623-6368,2017-10-31,
하이타운상가백화점,상설,부산광역시 남구 천제등로 11,부산광역시 남구 대연1동 1756-9,매일,35.1335714033,129.087532918,86,"채소, 건어물",온누리상품권,없음,Y,Y,1979,051-632-6668,2017-10-31,
새감만종합시장,상설,부산광역시 남구 홍곡로 3,부산광역시 남구 감만1동 163-2,매일,35.1163332433,129.081710136,29,"채소, 건어물",온누리상품권,없음,Y,Y,1982,,2017-10-31,
대연삼익상가시장,상설,부산광역시 남구 황령대로 504,부산광역시 남구 대연3동 1808,매일,35.1374727032,129.108076616,83,잡화,온누리상품권,없음,Y,Y,1984,051-624-1455,2017-10-31,
우암골목시장,상설,부산광역시 남구 우암번영로 26번길 17,부산광역시 남구 우암동 189-671,매일,35.1265220177,129.070864681,100,"채소, 건어물",온누리상품권,없음,N,N,1952,051-635-2295,2017-10-31,
못골골목시장,상설,부산광역시 남구 못골로 66-1,부산광역시 남구 대연5동 1416-23,매일,35.1358601322,129.089636173,147,"활어, 채소, 건어물",온누리상품권,없음,Y,Y,1965,051-627-3203,2017-10-31,
성정시장,상설,충청남도 천안시 서북구 성정로 78일원,충청남도 천안시 서북구 성정동 736-5 일원,매일,36.8127447,127.1387878,53,잡화 등 소매점,온누리상품권,,Y,Y,1988,070-4232-8259,2017-10-30,
병천시장,오일장,충청남도 천안시 동남구 병천면 병천2로 7일원,충청남도 천안시 동남구 병천면 병천리 163-2 일원,"1일,6일",36.7622417,127.2980633,185,잡화 등 소매점,온누리상품권,,Y,Y,1918,041-564-1507,2017-10-30,
성환이화시장,오일장,충청남도 천안시 서북구 성환읍 성환시장길 12일원,충청남도 천안시 서북구 성환읍 성환리 449-1일원,"1일,6일",36.9189024,127.1305362,165,잡화 등 소매점,온누리상품권,,Y,N,1914,041-564-1507,2017-10-30,
중앙시장,상설,충청남도 천안시 동남구 영성로 57일원,충청남도 천안시 동남구 사직동 3 일원,매일,36.8033528,127.1500579,80,잡화 등 소매점,온누리상품권,,Y,Y,1970,041-565-4989,2017-10-30,
천일시장,상설,충청남도 천안시 동남구 큰시장길 29일원,충청남도 천안시 동남구 사직동 33-1일원,매일,36.8024569,127.1499243,80,잡화 등 소매점,온누리상품권,,Y,Y,1973,041-563-1425,2017-10-30,
경산공설시장,상설+오일장,경상북도 경산시 경안로31길 19,경상북도 경산시 서상동 10,매일,35.8205193637,128.735760005,398,"농수산물, 생필품, 잡화",온누리상품권,,Y,Y,1956,053-816-9933,2017-11-17,
하양공설시장,상설+오일장,경상북도 경산시 하양읍 대학로 1543,경상북도 경산시 하양읍 금락리 35-6,매일,35.9156310516,128.819251019,109,"농수산물, 생필품, 잡화",온누리상품권,http://www.hygbm.co.kr,Y,Y,1931,053-856-0202,2017-11-17,
자인공설시장,오일장,경상북도 경산시 자인면 자인로 206-4,경상북도 경산시 자인면 서부리 254,3일+8일,35.816477743,128.822973151,171,"농수산물, 생필품, 잡화",온누리상품권,,Y,Y,1969,,2017-11-17,
압량공설시장,오일장,경상북도 경산시 압량면 압량시장길 1,경상북도 경산시 압량면 부적리 461-1,2일+7일,35.8437605626,128.760331598,8,"농산물, 잡화",없음,,Y,Y,1907,,2017-11-17,
용성공설시장,오일장,경상북도 경산시 용성면 용성당리1길  26,경상북도 경산시 용성면 당리리 52-3,2일+7일,35.7949416002,128.875416666,5,농산물,없음,,N,N,1970,,2017-11-17,
공설시장,상설+오일장,전라북도 남원시 의총로 51,전라북도 남원시 금동 262-1,"매일,+4일,+9일",35.4048124,127.3753412,147,"어물류, 채소류, 과일류, 공산품, 농축산물, 약초, 의류, 과자류, 뻥뛰기, 식당",온누리상품권,www.nwgs.kr,Y,Y,2005,063-625-4010,2017-11-10,
영동전통시장,상설+오일장,충청북도 영동군 영동읍 영산로1길 13-1,충청북도 영동군 영동읍 계산리 694-13,"매일, 4일, 9일",36.1751419,127.7756463,189,"농산물, 생필품,수산물, 주류/잡화 등",온누리상품권,,Y,Y,1964,043-742-0808,2017-11-13,
영동중앙시장,상설+오일장,충청북도 영동군 영동읍 중앙로 21,충청북도 영동군 영동읍 계산리 693-27,"매일, 4일, 9일",36.174704,127.7756809,95,"농산물, 생필품,수산물, 주류/잡화 등",온누리상품권,,Y,Y,1977,043-743-5611,2017-11-13,
용산시장,오일장,충청북도 영동군 용산면 용산로 332-2,충청북도 영동군 용산면 구촌리 383-3,"5일, 10일",36.2606179,127.8289174,20,"농산물, 생필품, 잡화 등",,,N,Y,1964,043-740-5736,2017-11-13,
황간시장,오일장,충청북도 영동군 황간면 남성3길 6-5,충청북도 영동군 황간면 남성리 529,"2일, 7일",36.2300791,127.9074236,10,"농산물, 생필품, 잡화 등",,,Y,Y,1964,043-740-5753,2017-11-13,
상촌시장,오일장,충청북도 영동군 상촌면 시장길 21,충청북도 영동군 상촌면 임산리 316,"1일, 6일",36.1499372,127.9150569,15,"농산물, 생필품, 잡화 등",,,Y,Y,1964,043-740-5811,2017-11-13,
괴산시장,상설+오일장,충청북도 괴산군 괴산읍 읍내로15길 8-8,,매일,36.811162,127.794973,,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,1970,043-832-0250,2017-11-15,
청천시장,상설+오일장,충청북도 괴산군 청천면 청천2길 10,,매일,36.659113,127.737837,,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,1970,043-834-6636,2017-11-15,
목도시장,상설+오일장,충청북도 괴산군 불정면 목도로4길 11,,매일,36.871966,127.853071,,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,1970,,2017-11-15,
연풍시장,상설+오일장,충청북도 괴산군 연풍면 향교로홍문길 5,,매일,36.764713,127.995091,,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,N,1964,,2017-11-15,
고산시장,상설+오일장,전라북도 완주군 고산면 남봉로 134,전라북도 완주군 고산면 읍내리 887,"매일(4일,9일)",35.9744195,127.2045981,31,"음식점, 농산물, 식당 등",온누리상품권,http://www.gosanmiso.co.kr,Y,Y,1964,063-262-0119,2017-11-15,
삼례시장,오일장,전라북도 완주군 삼례읍 남서신길 9-19,전라북도 완주군 삼례읍 삼례리 923-8,"3일, 8일",35.9102267,127.0731363,43,"음식점, 닭집, 의류, 생선 등",온누리상품권,,Y,Y,1964,,2017-11-15,
